price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,city,month,day,is_renovated
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,Shoreline,5,2,1
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,Kent,5,2,0
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,Bellevue,5,2,0
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,Redmond,5,2,1
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,Seattle,5,2,1
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,Redmond,5,2,0
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,Seattle,5,2,1
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,Other,5,2,1
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,Sammamish,5,2,0
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,Seattle,5,2,1
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,Kent,5,2,0
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,Bellevue,5,2,0
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,Auburn,5,2,0
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,Des Moines,5,2,1
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,Other,5,2,1
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,Seattle,5,2,0
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,Bellevue,5,2,1
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,Seattle,5,2,0
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,Other,5,2,0
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,Seattle,5,2,1
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,Federal Way,5,2,0
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,Seattle,5,2,0
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,Kirkland,5,2,0
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,Seattle,5,2,1
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,Kirkland,5,2,0
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,Other,5,2,1
650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,Seattle,5,2,1
625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,Shoreline,5,2,0
440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,Seattle,5,2,0
403000.0,3.0,2.0,1960,13100,1.0,0,2,5,1650,310,Other,5,2,0
750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,Seattle,5,2,1
335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,Other,5,2,1
260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,Renton,5,2,0
